DY
189
20
life_expectancy_at_birth_years;expected_years_of_schooling_years;mean_years_of_schooling_years;gross_national_income_GNI_per_capita_2017_PPP_$;GNI_rank_minus_HDI_rank;GINI_coefficient_2010-2018;life_expectancy_at_birth_women_years;life_expectancy_at_birth_men_years;expected_years_of_schooling_women_years;expected_years_of_schooling_men_years;population_millions;healthy_life_expectancy_at_birth;health_expenditure_2017_%_GDP;GDP_2017_PPP_$_billions;labour_force_participation_rate_%_aged_15_or_older;%_share_of_seats_in_parliament_women;adolescent_birth_rate_girls_aged_15-19;predicted_population_2030;total_fertility_rate_per_woman_2015-2020;prison_population_per_100_000
Montenegro;76.9;15.0;11.6;21399;13;39.0;79.3;74.4;15.4;14.7;0.6;66.5;;13.3;54.4;28.4;9.3;0.6;1.8;179;1
Romania;76.1;14.3;11.1;29497;-1;36.0;79.5;72.6;14.7;13.9;19.4;66.4;5.2;578.9;54.7;19.6;36.2;18.3;1.6;107;1
Palau;73.9;15.8;12.5;19317;15;;;;16.3;15.3;0.0;59.2;12.0;0.3;;13.8;;0.0;;422;1
Kazakhstan;73.6;15.6;11.9;22857;9;27.5;77.7;69.2;15.8;15.1;18.6;63.2;3.1;487.9;68.8;22.1;29.8;20.6;2.8;201;1
Russian Federation;72.6;15.0;12.2;26157;2;37.5;77.8;67.1;15.3;14.8;145.9;63.7;5.3;3968.2;61.8;16.5;20.7;143.3;1.8;386;1
Belarus;74.8;15.4;12.3;18546;14;25.2;79.6;69.7;15.7;15.2;9.5;65.1;5.9;181.3;64.1;34.9;14.5;9.3;1.7;344;1
Turkey;77.7;16.6;8.1;27701;-4;41.9;80.6;74.7;16.0;17.1;83.4;67.8;4.2;2350.0;52.8;17.4;26.6;89.2;2.1;322;1
Uruguay;77.9;16.8;8.9;20064;9;39.7;81.5;74.1;17.1;15.1;3.5;67.4;9.3;74.6;64.0;20.9;58.7;3.6;2.0;297;1
Bulgaria;75.1;14.4;11.4;23325;2;40.4;78.7;71.6;14.6;14.2;7.0;64.6;8.1;161.1;55.4;25.8;39.9;6.4;1.6;94;1
Panama;78.5;12.9;10.2;29558;-10;49.2;81.8;75.4;13.5;12.4;4.2;69.2;7.3;133.6;66.6;21.1;81.8;4.9;2.5;397;1
Bahamas;73.9;12.9;11.4;33747;-17;;76.1;71.7;;;0.4;64.2;5.8;13.9;74.6;21.8;30.0;0.4;1.8;461;1
Barbados;79.2;15.4;10.6;14936;20;;80.5;77.8;16.8;14.0;0.3;66.7;6.8;4.5;65.2;29.4;33.6;0.3;1.6;296;1
Oman;77.9;14.2;9.7;25944;-5;;80.3;76.1;15.0;13.7;5.0;64.8;3.8;138.8;72.4;9.9;13.1;5.9;2.9;;1
Georgia;73.8;15.3;13.1;14429;22;36.4;78.1;69.3;15.5;15.0;4.0;64.5;7.6;55.9;68.3;14.8;46.4;3.9;2.1;239;1
Costa Rica;80.3;15.7;8.7;18486;6;48.0;82.9;77.7;16.4;15.4;5.0;69.4;7.3;99.1;62.1;45.6;53.5;5.5;1.8;287;1
Malaysia;76.2;13.7;10.4;27534;-11;41.0;78.3;74.2;14.0;13.3;31.9;65.7;3.9;905.8;64.3;15.5;13.4;36.1;2.0;178;1
Kuwait;75.5;14.2;7.3;58590;-51;;76.6;74.8;15.2;13.2;4.2;70.3;5.3;209.7;73.5;4.6;8.2;4.7;2.1;148;1
Serbia;76.0;14.7;11.2;17192;8;36.2;78.6;73.4;15.3;14.2;8.8;66.3;8.4;126.3;54.9;37.7;14.7;8.3;1.5;156;1
Mauritius;75.0;15.1;9.5;25266;-10;36.8;78.5;71.7;15.7;14.4;1.3;65.2;5.7;29.1;58.3;20.0;25.7;1.3;1.4;193;1
Seychelles;73.4;14.1;10.0;26903;-15;46.8;77.4;69.9;15.3;13.1;0.1;64.4;5.0;2.8;;21.2;62.1;0.1;2.5;394;2
Trinidad and Tobago;73.5;13.0;11.0;26231;-14;;76.2;70.9;14.0;12.0;1.4;65.2;7.0;36.5;60.0;32.9;30.1;1.4;1.7;288;2
Albania;78.6;14.7;10.1;13998;18;33.2;80.2;77.0;15.5;14.0;2.9;68.9;;39.8;55.7;29.5;19.6;2.8;1.6;184;2
Cuba;78.8;14.3;11.8;8621;45;;80.8;76.8;14.7;13.9;11.3;68.4;11.7;;53.6;53.2;51.6;11.1;1.6;;2
Iran (Islamic Republic of);76.7;14.8;10.3;12447;26;40.8;77.9;75.6;14.6;15.0;82.9;66.8;8.7;1172.7;44.7;5.9;40.6;92.7;2.2;293;2
Sri Lanka;77.0;14.1;10.6;12707;23;39.8;80.3;73.6;14.5;13.8;21.3;66.9;3.8;285.1;53.9;5.3;20.9;22.0;2.2;98;2
Bosnia and Herzegovina;77.4;13.8;9.8;14872;7;33.0;79.9;74.9;14.1;13.5;3.3;67.0;8.9;49.2;46.4;21.1;9.6;3.1;1.3;84;2
Grenada;72.4;16.9;9.0;15641;3;;75.0;70.1;17.0;16.2;0.1;64.0;4.8;1.9;;39.3;29.2;0.1;2.1;414;2
Mexico;75.1;14.8;8.8;19160;-8;45.4;77.9;72.2;15.0;14.6;127.6;65.4;5.5;2519.2;60.7;48.4;60.4;140.9;2.1;156;2
Saint Kitts and Nevis;74.8;13.8;8.7;25038;-17;;;;14.0;13.7;0.1;63.1;5.0;1.4;;13.3;;0.1;;423;2
Ukraine;72.1;15.1;11.4;13216;19;26.1;76.8;67.1;15.3;14.9;44.0;64.6;7.0;538.4;54.2;20.5;23.7;40.9;1.4;128;2
Antigua and Barbuda;77.0;12.8;9.3;20895;-15;;78.1;75.9;13.2;12.1;0.1;66.6;4.5;2.1;;31.4;42.8;0.1;2.0;318;2
Peru;76.7;15.0;9.7;12252;19;42.8;79.5;74.1;14.9;15.1;32.5;69.9;5.0;417.7;77.6;30.0;56.9;36.0;2.3;284;2
Thailand;77.2;15.0;7.9;17781;-10;36.4;80.9;73.5;15.8;14.7;69.6;68.4;3.7;1285.5;67.3;14.1;44.9;70.3;1.5;528;2
Armenia;75.1;13.1;11.3;13894;9;34.4;78.5;71.3;13.6;12.6;3.0;66.6;10.4;40.4;55.6;23.5;21.5;3.0;1.8;77;2
North Macedonia;75.8;13.6;9.8;15865;-7;34.2;77.8;73.8;13.8;13.4;2.1;65.4;6.1;34.4;55.1;39.2;15.7;2.1;1.5;108;2
Colombia;77.3;14.4;8.5;14257;3;50.4;80.0;74.5;14.7;14.1;50.3;69.6;7.2;741.5;68.8;19.6;66.7;53.4;1.8;235;2
